Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Factor Value: Ecotype,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Characteristics: organism part,Term Source REF,Term Accession Number,Characteristics: Seed Source,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Treatment,Protocol REF,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Hardware,Term Source REF,Term Accession Number,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: growth temperature,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: light cycle,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Age at Sample Harvest,Unit,Term Source REF,Term Accession Number
SRR27746019,Flight_phyD_Dark_bio_rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,phyD mutant,,,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Dark Treatment,growth protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,Not Applicable,,,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Dark,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746020,Flight_phyD_Dark_bio_rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,phyD mutant,,,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Dark Treatment,growth protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,Not Applicable,,,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Dark,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746021,Ground_control_phyD_Light_bio_rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,phyD mutant,,,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Ground Control,,,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,International Space Station Environmental Simulator (ISSES),,,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746022,Flight_Col-0_Dark_bio_rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Dark Treatment,growth protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,Not Applicable,,,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Dark,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746023,Flight_Col-0_Dark_bio_rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Dark Treatment,growth protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,Not Applicable,,,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Dark,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746024,Flight_Col-0_Dark_bio_rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Dark Treatment,growth protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,Not Applicable,,,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Dark,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746025,Flight_Ws_Light_bio_rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746026,Flight_Ws_Light_bio_rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746027,Flight_Ws_Light_bio_rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746028,Flight_phyD_Light_bio_rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,phyD mutant,,,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746029,Flight_phyD_Light_bio_rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,phyD mutant,,,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746030,Flight_phyD_Light_bio_rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,phyD mutant,,,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746031,Flight_Col-0_Light_bio_rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,ISS-US Laboratory,RBO,http://purl.obolibrary.org/obo/RBO_00000040,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
SRR27746032,Ground_control_Col-0_Light_bio_rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,Arabidopsis Biological Resource Center SALK_027956C,,,Ground Control,,,Light Treatment,growth protocol,ambient light,,,4–6 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Petri Dish,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96141,International Space Station Environmental Simulator (ISSES),,,ambient temperature,,,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,24 hr Light,,,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033
